City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
502,Atambua,ID,79.5,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
506,Barreirinha,BR,75.81,scattered clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
509,Bakel,SN,78.8,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
515,Brokopondo,SR,76.24,overcast clouds,4.75,-55.1667,Matu Island
524,Catuday,PH,77.47,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
525,Larap,PH,76.01,overcast clouds,14.299,122.6504,Montemayor Cove
527,Inirida,CO,79.48,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
531,Panama City,PA,79.38,few clouds,8.9936,-79.5197,Riande Urban Hotel
537,Contamana,PE,77.95,few clouds,-7.3333,-75.0167,Shiringal Touristic Park
539,Imbituba,BR,77.83,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
543,Porto Velho,BR,75.25,broken clouds,-8.7619,-63.9039,Hotel Central
545,Manokwari,ID,81.48,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
554,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
561,Rawson,AR,76.68,clear sky,-43.3002,-65.1023,Hosteria Sampedro
566,San Rafael,AR,84.34,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
567,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
576,Ewo,CG,78.94,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
579,Utinga,BR,79.2,few clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
583,Kuah,MY,82.38,few clouds,6.3265,99.8432,Azio Hotel
585,Lorengau,PG,78.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
587,Morondava,MG,79.56,few clouds,-20.2833,44.2833,La Case Bambou
595,Progreso,MX,78.91,broken clouds,21.2833,-89.6667,Playa Linda Hotel
597,Garissa,KE,76.73,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
599,Mayumba,GA,77.72,moderate rain,-3.432,10.6554,LIKWALE LODGE
600,Pangkalanbuun,ID,82.47,light rain,-2.6833,111.6167,Grand Kecubung Hotel
602,Buchanan,LR,78.08,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
606,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
609,Tay Ninh,VN,81.82,broken clouds,11.3,106.1,Thanh Tuyền Hotel
610,Bowen,AU,89.82,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
612,Vila Velha,BR,75.15,heavy intensity rain,-20.3297,-40.2925,Quality Suites Vila Velha
616,Ruteng,ID,75.16,few clouds,-8.6136,120.4721,Hotel FX 72
624,Tarakan,ID,83.7,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
626,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
640,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
646,Poum,NC,80.73,broken clouds,-20.2333,164.0167,Gîte kajeon
647,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
648,Qui Nhon,VN,75.61,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
650,Kismayo,SO,78.24,overcast clouds,-0.3582,42.5454,Agan-Hotel
651,Makasar,ID,80.65,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
654,Paracuru,BR,82.42,few clouds,-3.41,-39.0306,Hotel Vento Brasil
657,Namuac,PH,76.93,few clouds,18.6109,121.1657,Mlin Hotel
658,Sabang,ID,80.96,few clouds,5.8933,95.3214,Hotel Citra
