City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,Gold Coast,-28.0,153.4333,75.0,92,40,1.99,AU,2022-01-30 15:59:44
362,Upata,8.0086,-62.3989,82.18,37,51,6.17,VE,2022-01-30 15:59:44
363,Nicoya,10.1483,-85.452,81.95,50,14,16.06,CR,2022-01-30 15:59:44
364,Bengkulu,-3.8004,102.2655,76.66,92,100,5.7,ID,2022-01-30 15:59:45
365,Moron,-34.6534,-58.6198,84.94,49,0,1.01,AR,2022-01-30 15:59:45
366,Iqaluit,63.7506,-68.5145,-11.47,70,100,8.05,CA,2022-01-30 15:59:45
367,Bilma,18.6853,12.9164,71.76,11,2,16.53,NE,2022-01-30 15:59:46
368,Lucea,18.451,-78.1736,73.26,73,93,18.41,JM,2022-01-30 15:59:46
369,Sarangani,5.4033,125.4636,81.27,73,65,6.93,PH,2022-01-30 15:59:46
370,Carnarvon,-24.8667,113.6333,78.87,78,40,18.41,AU,2022-01-30 15:59:46
371,Hami,42.8,93.45,24.96,38,100,3.51,CN,2022-01-30 15:55:47
372,Hithadhoo,-0.6,73.0833,82.33,66,100,7.27,MV,2022-01-30 15:59:47
373,Kalamnuri,19.6667,77.3333,69.4,20,0,2.91,IN,2022-01-30 15:59:47
374,Stokmarknes,68.5646,14.9108,24.49,80,40,6.91,NO,2022-01-30 15:59:48
375,Kismayo,-0.3582,42.5454,78.08,78,15,17.78,SO,2022-01-30 15:59:48
376,Panaba,21.2833,-88.2667,70.39,51,55,9.04,MX,2022-01-30 15:59:48
377,Morant Bay,17.8815,-76.4093,82.02,73,24,7.94,JM,2022-01-30 15:59:49
378,Naze,28.3667,129.4833,53.96,69,95,18.79,JP,2022-01-30 15:59:49
379,Puerto Escondido,15.85,-97.0667,81.86,40,0,3.13,MX,2022-01-30 15:59:49
380,College,64.8569,-147.8028,-27.35,67,40,3.44,US,2022-01-30 15:56:17
381,Luderitz,-26.6481,15.1594,70.3,73,72,5.12,NA,2022-01-30 15:59:50
382,Puerto Cabezas,14.0351,-83.3888,73.36,94,75,4.61,NI,2022-01-30 15:59:50
383,Altay,47.8667,88.1167,3.69,55,44,7.58,CN,2022-01-30 15:59:50
384,Lincoln,40.8,-96.667,30.29,74,81,3.0,US,2022-01-30 15:59:21
385,Jiazi,22.8779,116.067,58.21,73,43,17.13,CN,2022-01-30 15:59:51
386,Roald,62.5833,6.1333,34.9,80,75,5.75,NO,2022-01-30 15:59:51
387,Catalao,-18.1658,-47.9464,78.28,64,100,10.2,BR,2022-01-30 15:59:52
388,Kavieng,-2.5744,150.7967,80.98,76,90,3.27,PG,2022-01-30 15:59:52
389,Bilibino,68.0546,166.4372,-7.01,91,100,5.14,RU,2022-01-30 15:59:53
390,Karratha,-20.7377,116.8463,83.44,67,46,26.44,AU,2022-01-30 15:59:53
391,Tibati,6.4667,12.6333,87.76,14,100,8.01,CM,2022-01-30 15:59:54
392,Urumqi,43.801,87.6005,-3.05,85,57,2.24,CN,2022-01-30 15:59:54
393,Hofn,64.2539,-15.2082,32.02,93,75,13.8,IS,2022-01-30 15:59:54
394,Vuktyl,63.8567,57.3094,12.52,93,100,5.7,RU,2022-01-30 15:59:55
395,Sembakung,3.8167,117.25,78.73,98,63,1.16,ID,2022-01-30 15:59:55
396,Yumbe,3.4651,31.2469,83.97,21,58,4.9,UG,2022-01-30 15:59:55
397,The Valley,18.217,-63.0578,84.06,65,75,14.97,AI,2022-01-30 15:59:56
398,Port Lincoln,-34.7333,135.8667,66.38,84,0,11.14,AU,2022-01-30 15:59:56
399,Rio Grande,-32.035,-52.0986,82.51,52,28,13.89,BR,2022-01-30 15:59:38
400,Pombas,17.1503,-25.0201,73.18,69,100,14.52,CV,2022-01-30 15:59:56
401,Kharakvasla,18.4333,73.7667,69.42,38,0,3.56,IN,2022-01-30 15:59:57
402,Dunedin,-45.8742,170.5036,54.93,93,41,5.08,NZ,2022-01-30 15:59:57
403,Horodyshche,49.2849,31.4451,34.59,86,98,15.43,UA,2022-01-30 15:59:57
404,Zelezna Ruda,49.1374,13.2352,36.07,75,70,16.15,CZ,2022-01-30 15:59:58
405,Lar,26.2039,83.9717,55.22,66,0,2.13,IN,2022-01-30 15:59:58
406,Axim,4.8699,-2.2405,85.46,63,53,11.77,GH,2022-01-30 16:01:00
407,Saint-Pierre,-21.3393,55.4781,80.28,78,20,21.85,RE,2022-01-30 16:01:01
408,Vidalia,32.2177,-82.4135,47.71,29,0,11.5,US,2022-01-30 16:01:01
409,Fare,-16.7,-151.0167,80.04,73,27,7.67,PF,2022-01-30 16:01:02
410,Constitucion,-35.3333,-72.4167,68.88,58,2,14.18,CL,2022-01-30 16:01:02
411,Koungou,-12.7336,45.2042,82.11,74,0,6.91,YT,2022-01-30 16:01:02
412,Airai,-8.9266,125.4092,62.15,90,98,4.18,TL,2022-01-30 16:01:03
413,Trairi,-3.2778,-39.2689,77.7,88,100,9.31,BR,2022-01-30 16:01:03
414,Nanortalik,60.1432,-45.2371,16.61,61,100,10.65,GL,2022-01-30 16:01:04
415,Ahipara,-35.1667,173.1667,60.35,92,100,7.85,NZ,2022-01-30 16:01:04
416,Biscarrosse,44.3945,-1.1672,58.24,93,100,4.61,FR,2022-01-30 16:01:05
417,Belyy Yar,53.6039,91.3903,-16.71,77,100,0.0,RU,2022-01-30 16:01:05
418,Caravelas,-17.7125,-39.2481,88.79,57,84,12.44,BR,2022-01-30 16:01:06
419,Coromandel,-18.4733,-47.2003,75.36,75,89,9.19,BR,2022-01-30 16:01:06
420,Pitimbu,-7.4706,-34.8086,84.36,66,100,12.68,BR,2022-01-30 16:01:06
421,Sankheda,22.1667,73.5833,69.58,22,0,4.63,IN,2022-01-30 16:01:07
422,Compostela,7.6731,126.0889,72.64,95,37,1.86,PH,2022-01-30 16:01:07
423,Buala,-8.145,159.5921,79.88,84,95,5.19,SB,2022-01-30 16:01:07
424,Valparaiso,-33.0393,-71.6273,68.23,65,20,5.75,CL,2022-01-30 15:57:47
425,Tromso,69.6496,18.957,21.22,79,0,12.66,NO,2022-01-30 16:01:08
426,Dicabisagan,17.0818,122.4157,74.95,87,97,12.75,PH,2022-01-30 16:01:08
427,Nakasongola,1.3089,32.4564,80.82,36,87,4.23,UG,2022-01-30 16:01:09
428,Tulum,20.2167,-87.4667,71.92,58,1,6.78,MX,2022-01-30 16:01:09
429,Ahmadnagar,19.0833,74.7333,71.31,23,0,3.42,IN,2022-01-30 16:01:09
430,Bonthe,7.5264,-12.505,86.7,55,35,14.5,SL,2022-01-30 16:01:10
431,Barcelos,41.5388,-8.6151,66.29,47,0,3.91,PT,2022-01-30 15:59:20
