City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Nikolskoye,RU,2022-01-30 22:09:05,59.7035,30.7861,27.39,96,100,6.24
91,Christchurch,NZ,2022-01-30 22:08:17,-43.5333,172.6333,72.32,63,21,3.0
92,Kavieng,PG,2022-01-30 22:06:49,-2.5744,150.7967,81.64,75,89,2.28
93,Misratah,LY,2022-01-30 22:09:07,32.3754,15.0925,56.48,67,2,14.97
94,Georgetown,MY,2022-01-30 22:06:16,5.4112,100.3354,80.89,86,20,0.0
95,Luderitz,NA,2022-01-30 22:06:24,-26.6481,15.1594,64.98,87,75,8.39
96,Butaritari,KI,2022-01-30 22:09:08,3.0707,172.7902,82.04,76,17,20.92
97,Mahebourg,MU,2022-01-30 22:09:08,-20.4081,57.7,79.09,94,75,11.5
98,Saskylakh,RU,2022-01-30 22:08:58,71.9167,114.0833,-19.66,100,99,2.37
99,Millinocket,US,2022-01-30 22:09:09,45.6573,-68.7098,14.36,52,0,9.22
100,Alta Floresta,BR,2022-01-30 22:05:56,-9.8756,-56.0861,71.15,96,98,3.6
101,Batagay,RU,2022-01-30 22:09:10,67.6333,134.6333,-35.5,99,53,1.68
102,Atar,MR,2022-01-30 22:09:10,20.5169,-13.0499,79.79,11,100,8.72
103,Severo-Kurilsk,RU,2022-01-30 22:08:58,50.6789,156.125,27.75,95,100,11.05
104,Mareeba,AU,2022-01-30 22:09:11,-17.0,145.4333,78.44,85,100,1.5
105,Novyy Rogachik,RU,2022-01-30 22:09:11,48.6768,44.0608,29.3,93,100,12.12
106,Tasiilaq,GL,2022-01-30 22:09:12,65.6145,-37.6368,8.76,50,96,12.75
107,Kontagora,NG,2022-01-30 22:05:59,10.3999,5.4695,76.59,10,100,11.16
108,Santarem,BR,2022-01-30 22:09:12,-2.4431,-54.7083,78.93,89,75,3.44
109,Corinto,GR,2022-01-30 22:09:13,37.9407,22.9573,46.69,80,36,5.12
110,Cidreira,BR,2022-01-30 22:09:13,-30.1811,-50.2056,73.87,70,6,18.28
111,Petropavlovsk-Kamchatskiy,RU,2022-01-30 22:09:14,53.0452,158.6483,12.79,85,75,6.71
112,Bartica,GY,2022-01-30 22:09:14,6.4,-58.6167,77.32,83,90,4.32
113,Kirakira,SB,2022-01-30 22:09:15,-10.4544,161.9205,83.25,76,92,5.1
114,Celestun,MX,2022-01-30 22:08:21,20.8667,-90.4,71.47,51,2,12.71
115,Genhe,CN,2022-01-30 22:09:16,50.7833,121.5167,-17.88,100,56,0.72
116,Hastings,GB,2022-01-30 22:09:16,50.8552,0.5729,46.9,82,95,22.97
117,East London,ZA,2022-01-30 22:07:07,-33.0153,27.9116,74.61,83,83,15.01
118,Mae Ramat,TH,2022-01-30 22:09:17,16.984,98.5166,54.63,76,41,0.72
119,Do Gonbadan,IR,2022-01-30 22:09:18,30.3586,50.7981,50.95,49,95,2.86
120,Bluff,NZ,2022-01-30 22:09:18,-46.6,168.3333,68.81,85,93,4.43
121,Pingzhuang,CN,2022-01-30 22:09:19,42.0372,119.2889,17.62,63,96,8.05
122,Kaitangata,NZ,2022-01-30 22:09:19,-46.2817,169.8464,68.94,75,16,0.29
123,Bonthe,SL,2022-01-30 22:06:15,7.5264,-12.505,78.57,84,7,8.95
124,Dingle,PH,2022-01-30 22:09:20,10.9995,122.6711,73.74,94,66,3.74
125,Mount Isa,AU,2022-01-30 22:08:23,-20.7333,139.5,74.97,100,75,5.75
126,Ponta Delgada,PT,2022-01-30 22:09:21,37.7333,-25.6667,59.72,77,40,19.57
127,Ust-Kuyga,RU,2022-01-30 22:09:21,70.0167,135.6,-34.42,99,98,4.94
128,Avarua,CK,2022-01-30 22:09:22,-21.2078,-159.775,73.45,94,75,6.91
129,Kahului,US,2022-01-30 22:04:57,20.8947,-156.47,82.42,59,20,18.41
130,Muzambinho,BR,2022-01-30 22:09:23,-21.3758,-46.5256,65.35,97,96,2.48
131,Castro,BR,2022-01-30 22:07:08,-24.7911,-50.0119,63.91,97,98,8.19
132,Arraial Do Cabo,BR,2022-01-30 22:06:55,-22.9661,-42.0278,76.86,88,75,10.36
133,Talnakh,RU,2022-01-30 22:09:24,69.4865,88.3972,-14.67,96,86,8.9
134,Alofi,NU,2022-01-30 22:09:24,-19.0595,-169.9187,73.87,87,100,8.57
135,Maragogi,BR,2022-01-30 22:09:14,-9.0122,-35.2225,79.79,79,100,9.62
136,Cayenne,GF,2022-01-30 22:06:18,4.9333,-52.3333,78.1,87,24,11.01
137,Chokurdakh,RU,2022-01-30 22:10:25,70.6333,147.9167,-29.99,93,16,2.8
138,Esperance,AU,2022-01-30 22:06:02,-33.8667,121.9,67.89,78,45,13.06
139,Pevek,RU,2022-01-30 22:09:29,69.7008,170.3133,-13.88,96,99,1.99
140,Gusau,NG,2022-01-30 22:10:26,12.1628,6.6614,67.66,15,67,11.95
141,Gigmoto,PH,2022-01-30 22:10:26,13.7796,124.39,76.69,89,43,9.15
142,Mangan,IN,2022-01-30 22:10:27,27.5167,88.5333,50.13,62,90,3.78
143,Nioro,GM,2022-01-30 22:06:22,13.35,-15.75,85.87,15,82,4.25
144,Emerald,AU,2022-01-30 22:06:51,-23.5333,148.1667,79.34,70,61,11.61
145,Evensk,RU,2022-01-30 22:10:28,61.95,159.2333,20.26,71,100,25.64
146,Yaan,NG,2022-01-30 22:10:28,7.3833,8.5667,81.46,12,100,11.07
147,Padang,ID,2022-01-30 22:10:29,-0.9492,100.3543,75.25,89,100,3.96
148,San Cristobal,VE,2022-01-30 22:09:56,7.7669,-72.225,69.98,65,96,4.61
149,Broome,US,2022-01-30 22:10:30,42.2506,-75.833,19.98,66,75,1.01
150,Wick,GB,2022-01-30 22:10:30,58.4333,-3.0833,39.25,93,100,26.46
151,Berlevag,NO,2022-01-30 22:10:31,70.8578,29.0864,30.2,93,100,6.91
152,Burgersdorp,ZA,2022-01-30 22:10:31,-30.9977,26.3286,74.12,48,100,9.01
153,Thompson,CA,2022-01-30 22:10:32,55.7435,-97.8558,4.91,92,100,5.97
154,Cherskiy,RU,2022-01-30 22:06:49,68.75,161.3,-27.58,99,98,1.05
155,Novikovo,RU,2022-01-30 22:10:32,51.1537,37.8879,28.96,93,100,12.41
156,Sorland,NO,2022-01-30 22:05:44,67.667,12.6934,30.27,44,91,6.82
157,Port Alfred,ZA,2022-01-30 22:10:10,-33.5906,26.891,73.78,88,97,17.18
158,Saint George,US,2022-01-30 22:06:14,37.1041,-113.5841,64.87,17,0,1.01
159,Sakaiminato,JP,2022-01-30 22:10:34,35.55,133.2333,35.53,92,100,9.66
160,Tuktoyaktuk,CA,2022-01-30 22:07:16,69.4541,-133.0374,-4.22,96,100,17.13
161,Khatanga,RU,2022-01-30 22:10:34,71.9667,102.5,-5.91,98,99,9.71
162,Dzilam Gonzalez,MX,2022-01-30 22:10:35,21.2833,-88.9333,71.19,49,9,8.43
163,Bereznik,RU,2022-01-30 22:10:35,62.8551,42.7072,4.87,97,100,4.79
164,Natchitoches,US,2022-01-30 22:10:36,31.7668,-93.1335,70.48,26,0,10.36
165,Kolpashevo,RU,2022-01-30 22:10:36,58.3131,82.9089,3.2,95,98,7.11
166,Mount Gambier,AU,2022-01-30 22:10:06,-37.8333,140.7667,62.51,100,100,3.44
167,Jizan,SA,2022-01-30 22:10:37,17.3333,42.6667,78.13,75,57,5.66
168,Amapa,BR,2022-01-30 22:10:37,1.0,-52.0,72.43,99,87,2.44
169,Axim,GH,2022-01-30 22:10:38,4.8699,-2.2405,78.98,85,98,5.48
170,Shalya,RU,2022-01-30 22:10:38,57.2471,58.7298,5.2,99,99,3.04
171,Bambous Virieux,MU,2022-01-30 22:09:32,-20.3428,57.7575,79.05,94,75,11.5
172,Aykhal,RU,2022-01-30 22:10:39,66.0,111.5,-21.82,100,90,3.69
173,Kondinskoye,RU,2022-01-30 22:07:13,59.6481,67.41,-9.22,100,100,4.03
174,Qaanaaq,GL,2022-01-30 22:07:01,77.484,-69.3632,-8.9,69,100,5.48
175,Heihe,CN,2022-01-30 22:10:41,50.2441,127.4902,-3.42,91,23,6.24
176,North Las Vegas,US,2022-01-30 22:09:46,36.1989,-115.1175,67.15,11,0,6.91
177,Vao,NC,2022-01-30 22:10:41,-22.6667,167.4833,79.07,84,100,5.88
178,Chilca,PE,2022-01-30 22:10:42,-12.5211,-76.7372,75.61,79,84,7.09
179,Kodiak,US,2022-01-30 22:06:33,57.79,-152.4072,26.11,68,0,13.8
180,Kysyl-Syr,RU,2022-01-30 22:10:43,63.8986,122.7617,-27.04,100,99,3.29
181,Bejar,ES,2022-01-30 22:07:37,40.3864,-5.7634,44.58,48,26,4.65
182,New Norfolk,AU,2022-01-30 22:10:44,-42.7826,147.0587,68.76,70,4,2.37
183,Saldanha,ZA,2022-01-30 22:10:44,-33.0117,17.9442,65.32,92,87,8.72
184,Rio Grande,BR,2022-01-30 22:11:45,-32.035,-52.0986,77.95,72,21,19.55
185,Coruripe,BR,2022-01-30 22:11:45,-10.1256,-36.1756,80.17,76,100,9.53
186,Itaqui,BR,2022-01-30 22:11:46,-29.1253,-56.5531,92.52,18,0,8.63
187,Isangel,VU,2022-01-30 22:09:53,-19.55,169.2667,77.27,94,100,9.78
188,Lompoc,US,2022-01-30 22:07:13,34.6391,-120.4579,75.02,43,0,19.57
189,Cabo San Lucas,MX,2022-01-30 22:06:58,22.8909,-109.9124,79.61,60,20,1.99
190,Ancud,CL,2022-01-30 22:10:54,-41.8697,-73.8203,62.13,58,32,12.21
191,Piskivka,UA,2022-01-30 22:11:47,50.6938,29.6193,34.12,94,99,13.42
192,Khasan,RU,2022-01-30 22:11:47,42.4308,130.6434,18.73,50,0,15.43
193,Piacabucu,BR,2022-01-30 22:11:48,-10.4056,-36.4344,80.33,77,94,9.01
194,Mecca,SA,2022-01-30 22:08:58,21.4267,39.8261,69.06,57,98,5.26
195,Mizan Teferi,ET,2022-01-30 22:11:49,6.9833,35.5833,66.36,45,100,0.98
196,Raudeberg,NO,2022-01-30 22:11:49,61.9875,5.1352,33.19,69,100,3.0
197,Beyla,GN,2022-01-30 22:11:50,8.6833,-8.6333,75.58,15,60,3.36
198,Atlantic City,US,2022-01-30 22:11:50,39.3643,-74.4229,26.64,51,0,8.05
199,Castelo Do Piaui,BR,2022-01-30 22:11:51,-5.3222,-41.5525,76.28,69,98,2.59
200,Ahipara,NZ,2022-01-30 22:09:02,-35.1667,173.1667,74.28,56,97,13.11
201,Marawi,PH,2022-01-30 22:08:13,7.9986,124.2928,64.65,92,16,1.54
202,Polunochnoye,RU,2022-01-30 22:11:52,60.8697,60.4153,-10.12,100,100,2.64
203,Gharghoda,IN,2022-01-30 22:11:52,22.1667,83.35,55.44,34,16,2.64
204,Bunia,CD,2022-01-30 22:11:53,1.5667,30.25,71.78,42,100,3.8
205,Helena,US,2022-01-30 22:09:11,46.5927,-112.0361,48.16,47,100,0.0
206,Praia Da Vitoria,PT,2022-01-30 22:11:53,38.7333,-27.0667,58.75,84,48,24.05
207,Namatanai,PG,2022-01-30 22:11:54,-3.6667,152.4333,81.3,77,100,3.29
208,Damaturu,NG,2022-01-30 22:11:54,11.747,11.9608,63.97,18,100,9.04
209,Pangnirtung,CA,2022-01-30 22:11:55,66.1451,-65.7125,-21.03,84,94,5.77
210,Mezen,RU,2022-01-30 22:11:56,65.8522,44.24,9.66,96,100,6.04
211,Salalah,OM,2022-01-30 22:11:56,17.0151,54.0924,69.89,73,0,5.75
212,Fare,PF,2022-01-30 22:08:34,-16.7,-151.0167,80.46,72,22,10.09
213,Acajutla,SV,2022-01-30 22:11:57,13.5928,-89.8275,87.8,46,1,4.05
214,Yulara,AU,2022-01-30 22:09:26,-25.2406,130.9889,74.82,81,100,17.81
215,Bambanglipuro,ID,2022-01-30 22:11:58,-7.95,110.2833,61.61,89,100,4.23
216,Tingi,TZ,2022-01-30 22:11:59,-11.3,35.0333,62.28,93,53,2.59
217,Camacha,PT,2022-01-30 22:09:23,33.0833,-16.3333,61.56,88,20,16.11
218,Eugene,US,2022-01-30 22:10:27,44.0521,-123.0867,56.35,70,100,1.01
219,Torbay,CA,2022-01-30 22:07:08,47.6666,-52.7314,39.38,82,100,7.0
220,Mogadishu,SO,2022-01-30 22:12:00,2.0371,45.3438,77.13,79,88,20.6
221,Coihaique,CL,2022-01-30 22:09:01,-45.5752,-72.0662,56.01,47,40,8.05
222,Chapais,CA,2022-01-30 22:12:01,49.7834,-74.8492,1.18,90,100,7.67
223,Leh,IN,2022-01-30 22:12:01,34.1667,77.5833,7.39,93,100,0.89
224,Gobabis,NA,2022-01-30 22:12:02,-22.45,18.9667,67.01,85,80,13.42
225,Hofn,IS,2022-01-30 22:12:02,64.2539,-15.2082,25.65,51,0,22.35
226,Srednekolymsk,RU,2022-01-30 22:08:22,67.45,153.6833,-27.63,100,100,3.69
227,Rena,NO,2022-01-30 22:12:03,61.1348,11.3641,16.83,90,78,2.73
228,Maniitsoq,GL,2022-01-30 22:10:32,65.4167,-52.9,8.37,81,100,14.65
229,Norman Wells,CA,2022-01-30 22:13:04,65.282,-126.8329,-11.2,97,99,6.53
230,Codrington,AU,2022-01-30 22:13:04,-38.2667,141.9667,67.01,88,54,6.4
231,Cabildo,AR,2022-01-30 22:13:05,-38.4842,-61.8954,63.25,59,34,19.95
232,Arroyo,ES,2022-01-30 22:13:05,41.6096,-4.7969,39.6,64,0,6.91
233,Mineral Wells,US,2022-01-30 22:13:06,32.8085,-98.1128,73.6,11,0,10.36
234,Kutum,SD,2022-01-30 22:13:06,14.2,24.6667,54.5,17,1,13.8
235,Caxito,AO,2022-01-30 22:13:07,-8.5785,13.6643,75.18,93,100,2.28
236,General Pico,AR,2022-01-30 22:13:07,-35.6566,-63.7568,86.34,25,7,12.15
237,Moron,AR,2022-01-30 22:12:01,-34.6534,-58.6198,86.02,48,0,5.01
238,Labuhan,ID,2022-01-30 22:13:08,-6.8844,112.2051,78.01,86,100,8.1
239,Port-Gentil,GA,2022-01-30 22:12:00,-0.7193,8.7815,81.23,79,94,9.42
240,Vostok,RU,2022-01-30 22:08:19,46.4856,135.8833,-21.87,99,66,3.49
241,Okha,RU,2022-01-30 22:10:46,53.5739,142.9478,9.43,93,100,21.47
242,Angoram,PG,2022-01-30 22:13:09,-4.0625,144.0661,73.87,99,100,1.95
243,Kupang,ID,2022-01-30 22:13:10,-10.1667,123.5833,81.18,89,75,11.5
244,Alugan,PH,2022-01-30 22:13:10,12.2188,125.4808,77.49,85,39,2.64
245,Tilichiki,RU,2022-01-30 22:11:39,60.4667,166.1,20.52,73,100,12.84
246,Drumnadrochit,GB,2022-01-30 22:13:11,57.3344,-4.4799,42.62,89,100,21.47
247,Havre-Saint-Pierre,CA,2022-01-30 22:13:12,50.2334,-63.5986,5.36,78,20,14.97
248,Iralaya,HN,2022-01-30 22:13:12,15.0,-83.2333,78.89,71,78,17.47
249,Te Anau,NZ,2022-01-30 22:13:13,-45.4167,167.7167,66.97,70,21,0.67
250,Vila Franca Do Campo,PT,2022-01-30 22:13:13,37.7167,-25.4333,59.41,80,47,15.12
251,Nelson Bay,AU,2022-01-30 22:13:14,-32.7167,152.15,79.09,81,80,4.74
252,Ust-Nera,RU,2022-01-30 22:10:15,64.5667,143.2,-10.26,99,100,1.57
253,Vaitape,PF,2022-01-30 22:13:15,-16.5167,-151.75,80.64,72,12,9.06
254,Mildura,AU,2022-01-30 22:13:15,-34.2,142.15,80.08,55,0,8.3
255,Yar-Sale,RU,2022-01-30 22:13:16,66.8333,70.8333,-6.79,99,88,6.98
256,Jaysingpur,IN,2022-01-30 22:13:17,16.779,74.5564,65.41,52,1,2.08
257,Bardiyah,LY,2022-01-30 22:13:17,31.7561,25.0865,56.25,69,45,22.19
258,Carutapera,BR,2022-01-30 22:09:30,-1.195,-46.02,74.91,94,100,7.47
259,Bertoua,CM,2022-01-30 22:13:18,4.5833,13.6833,71.24,28,92,3.91
260,Kindu,CD,2022-01-30 22:13:19,-2.95,25.95,72.54,83,100,3.02
261,Banjar,ID,2022-01-30 22:13:19,-8.19,114.9675,76.91,91,100,3.27
262,Delyatyn,UA,2022-01-30 22:13:20,48.5235,24.6247,33.21,80,100,16.75
263,Puck,PL,2022-01-30 22:13:20,54.7179,18.4084,37.08,70,99,27.07
264,Port Macquarie,AU,2022-01-30 22:12:36,-31.4333,152.9167,77.9,77,8,4.59
265,Tabou,CI,2022-01-30 22:12:52,4.423,-7.3528,79.79,86,25,7.81
266,Moindou,NC,2022-01-30 22:13:21,-21.6924,165.677,82.35,77,100,7.54
267,Chavakkad,IN,2022-01-30 22:13:22,10.5333,76.05,78.17,77,7,7.76
268,Makakilo City,US,2022-01-30 22:12:15,21.3469,-158.0858,79.12,55,0,13.8
269,Kharp,RU,2022-01-30 22:12:04,66.8014,65.8081,-8.68,99,99,1.43
270,Eureka,US,2022-01-30 22:08:30,40.8021,-124.1637,60.67,76,90,1.99
271,Mana,GF,2022-01-30 22:13:23,5.6592,-53.7767,77.13,82,63,10.27
272,Santa Isabel,BR,2022-01-30 22:13:24,-23.3156,-46.2214,70.9,97,100,2.39
273,Umea,SE,2022-01-30 22:13:24,63.8284,20.2597,13.93,92,0,8.05
274,Lebu,CL,2022-01-30 22:14:25,-37.6167,-73.65,60.28,65,0,20.49
275,Chanthaburi,TH,2022-01-30 22:14:25,12.8333,102.1667,70.14,97,22,1.79
276,Teya,RU,2022-01-30 22:14:26,60.3778,92.6267,-4.25,99,97,2.62
277,San Andres,CO,2022-01-30 22:14:26,12.5847,-81.7006,80.62,74,40,9.22
278,Lagoa,PT,2022-01-30 22:12:27,39.05,-27.9833,58.53,70,50,26.51
279,Deputatskiy,RU,2022-01-30 22:14:27,69.3,139.9,-25.15,100,73,2.3
280,Micheweni,TZ,2022-01-30 22:14:27,-4.9667,39.8333,79.32,79,84,9.64
281,Vardo,NO,2022-01-30 22:14:28,70.3705,31.1107,28.15,80,40,10.36
282,North Bend,US,2022-01-30 22:14:28,43.4065,-124.2243,57.92,85,100,9.22
283,Preobrazheniye,RU,2022-01-30 22:14:29,42.9019,133.9064,11.08,70,3,7.96
284,Berezovka,BY,2022-01-30 22:14:29,53.7214,25.4993,29.26,95,100,19.55
285,Urumqi,CN,2022-01-30 22:14:30,43.801,87.6005,-3.05,85,75,2.24
286,Palaikastron,GR,2022-01-30 22:14:30,35.2,26.25,50.76,74,33,7.23
287,Burnie,AU,2022-01-30 22:14:30,-41.0667,145.9167,72.95,70,12,6.51
288,Souillac,MU,2022-01-30 22:14:31,-20.5167,57.5167,79.18,94,75,11.5
289,Sherbakul,RU,2022-01-30 22:14:32,54.6316,72.3963,6.48,98,92,7.29
290,Price,US,2022-01-30 22:14:32,39.5994,-110.8107,47.12,28,0,0.0
291,Dong Hoi,VN,2022-01-30 22:14:33,17.4833,106.6,64.71,92,98,11.9
292,Haines Junction,CA,2022-01-30 22:13:24,60.7522,-137.5108,9.77,90,98,2.84
293,Manali,IN,2022-01-30 22:14:34,13.1667,80.2667,78.08,83,8,0.92
294,Irati,BR,2022-01-30 22:14:34,-25.4672,-50.6511,64.81,99,71,3.56
295,Kaeo,NZ,2022-01-30 22:14:34,-35.1,173.7833,72.32,76,99,14.61
